fdc_id,description,Energy (Atwater Specific Factors) (KCAL),Protein (G),Total lipid (fat) (G),"Carbohydrate, by difference (G)","Fiber, total dietary (G)","Sugars, total including NLEA (G)",Leucine (G),"Fatty acids, total monounsaturated (G)","PUFA 18:2 n-6 c,c (LA) (G)","PUFA 18:3 n-3 c,c,c (ALA) (G)",PUFA 20:5 n-3 (EPA) (G),PUFA 22:6 n-3 (DHA) (G),"Fatty acids, total trans","Sugars, added","Fatty acids, total saturated (G)","Vitamin A, RAE (UG)","Vitamin C, total ascorbic acid (MG)",Vitamin D (D2 + D3) (UG),Vitamin E (alpha-tocopherol) (MG),Vitamin B-6 (MG),"Folate, DFE (UG)",Biotin (UG),"Magnesium, Mg (MG)","Zinc, Zn (MG)","Selenium, Se (UG)","Iron, Fe (MG)","Potassium, K (MG)",Niacin (MG),"Calcium, Ca (MG)","Copper, Cu (MG)","Iodine, I (UG)","Manganese, Mn (MG)","Molybdenum, Mo (UG)","Phosphorus, P (MG)",Thiamin (MG),Riboflavin (MG),Pantothenic acid (MG),Vitamin B-12 (UG),Sodium (mg),Added Sugars (g)
170575,"Nuts, chestnuts, european, raw, peeled",195.238095,1.63,1.25,44.17,0,0,0.096,0.43,0,0,0,0,0,0,0.235,1,40.2,0,0,0.352,58,0,30,0.49,0,0.94,484,1.102,19,0.418,0,0.336,0,38,0.144,0.016,0.476,0,2,0
170576,"Nuts, chestnuts, european, dried, unpeeled",372.619048,6.39,4.45,77.31,11.7,0,0.378,1.535,0,0,0,0,0,0,0.837,0,15,0,0,0.663,109,0,74,0.35,1.8,2.38,986,0.85,67,0.65,0,1.3,0,175,0.295,0.36,0.897,0,37,0
170577,"Nuts, coconut meat, dried (desiccated), sweetened, flaked, packaged",456,3.13,27.99,51.85,9.9,36.75,0.188,1.377,0.222,0,0,0,0.002,0,26.396,0,0,0,0,0.03,3,0,51,0.71,16.1,1.51,361,0.697,11,0.295,0,0.959,0,100,0.015,0.015,0.14,0,285,0
170578,"Nuts, coconut meat, dried (desiccated), sweetened, flaked, canned",441.428571,3.35,31.69,40.91,4.5,0,0.249,1.348,0,0,0,0,0,0,28.101,0,0,0,0,0.237,7,0,49,1.59,0,1.84,324,0.305,14,0.308,0,2.171,0,103,0.03,0.02,0.633,0,20,0
170579,"Nuts, coconut meat, dried (desiccated), toasted",589.761905,5.3,47,44.4,0,0,0.393,1.999,0,0,0,0,0,0,41.678,0,1.5,0,0,0.306,9,0,92,2.05,0,3.39,554,0.616,27,0.812,0,2.801,0,211,0.061,0.102,0.817,0,37,0
170580,"Nuts, coconut cream, raw (liquid expressed from grated meat)",328.809524,3.63,34.68,6.65,2.2,0,0.269,1.475,0,0,0,0,0,0,30.753,0,2.8,0,0,0.047,23,0,28,0.96,0,2.28,325,0.89,11,0.378,0,1.304,0,122,0.03,0,0.261,0,4,0
170581,"Nuts, hazelnuts or filberts",628,14.95,60.75,16.7,9.7,4.34,1.063,45.652,0,0,0,0,0,0,4.464,1,6.3,0,15.03,0.563,113,0,163,2.45,2.4,4.7,680,1.8,114,1.725,0,6.175,0,290,0.643,0.113,0.918,0,0,0
170582,"Nuts, hazelnuts or filberts, blanched",626.190476,13.7,61.15,17,11,3.49,0.974,48.192,0,0,0,0,0,0,4.669,2,2,0,17.5,0.585,78,0,160,2.2,4.1,3.3,658,1.55,149,1.6,0,12.65,0,310,0.475,0.11,0.815,0,0,0
170583,"Nuts, hazelnuts or filberts, dry roasted, without salt added",643.571429,15.03,62.4,17.6,9.4,4.89,1.069,46.608,0,0,0,0,0,0,4.511,3,3.8,0,15.28,0.62,88,0,173,2.5,4.1,4.38,755,2.05,123,1.75,0,5.55,0,310,0.338,0.123,0.923,0,0,0
170584,"Nuts, ginkgo nuts, raw",181.190476,4.32,1.68,37.6,0,0,0.316,0.619,0,0,0,0,0,0,0.319,28,15,0,0,0.328,54,0,27,0.34,0,1,510,6,2,0.274,0,0.113,0,124,0.22,0.09,0.16,0,7,0
170585,"Nuts, mixed nuts, dry roasted, with peanuts, without salt added",604.285714,19.5,53.5,22.42,6.4,5,1.374,34.532,9.74,0.082,0.009,0,0.033,0,8.01,0,0.8,0,6.13,0.36,60,0,227,4.06,9.3,3.73,643,6.22,87,1.52,0,2.61,0,438,0.3,0.4,0,0,4,0
170586,"Nuts, mixed nuts, dry roasted, with peanuts, salt added, PLANTERS pistachio blend",570.238095,23.28,47.52,23.07,8.1,4.45,0,27.618,11.531,0.08,0.014,0,0.027,0,6.71,4,0,0,5.65,0.495,0,0,209,3.42,11,3.43,758,4.51,129,1.008,0,1.77,0,493,0.35,0.57,0.78,0,232,0
170587,"Nuts, mixed nuts, oil roasted, with peanuts, without salt added",604.52381,20.04,53.95,21.05,7,4.15,1.656,28.488,14.455,0.082,0.005,0,0.055,0,8.711,0,0.5,0,7.82,0.352,83,0,229,3.36,33.9,2.61,632,7.709,117,0.907,0,2.04,0,456,0.189,0.196,1.14,0,5,0
